feature,importance
ext_source_3,0.18163527110436886
ext_source_2,0.15617556406849015
organization_type_onehot,0.0896276721253398
days_birth,0.05401088968770766
days_employed,0.04734636307976544
days_last_phone_change,0.04474764847740152
amt_goods_price,0.04283422975709685
region_rating_client_w_city,0.026671993451822088
region_rating_client,0.02220901811278568
days_id_publish,0.021578455898622992
code_gender_onehot,0.019013171255730415
reg_city_not_live_city,0.017366239873691187
reg_city_not_work_city,0.01642648021253626
flag_emp_phone,0.013928884134471676
name_contract_type_onehot,0.012080212969846132
flag_document_3,0.009736425316084442
flag_own_car_onehot,0.007977290753237977
amt_annuity,0.00686993642332526
amt_credit,0.006697429481263508
amt_req_credit_bureau_hour,0.006003984592569173
def_60_cnt_social_circle,0.005370183416520475
amt_req_credit_bureau_qrt,0.004148810625002126
flag_work_phone,0.003020382087511713
region_population_relative,0.0025873001468635975
hour_appr_process_start,0.0024118867954383665
amt_req_credit_bureau_year,0.0021057519884367247
amt_req_credit_bureau_day,0.0019941297373506418
obs_60_cnt_social_circle,0.0019616137445564404
emergencystate_mode_onehot,0.001592330646228918
def_30_cnt_social_circle,0.0013894247518847552
days_registration,0.0013068089003682348
sk_id_curr,0.0012975382696800988
cnt_children,0.001288122919546355
amt_req_credit_bureau_week,0.0011360056488166187
cnt_fam_members,0.0007491574706092297
obs_30_cnt_social_circle,0.000693792668308918
flag_phone,0.0006710879851118544
flag_document_2,0.0006536647476089977
amt_income_total,0.00040291437557470327
amt_req_credit_bureau_mon,0.0003891253464086759
name_housing_type_onehot,0.00031270153579503765
occupation_type_onehot,0.00028200645174327946
reg_region_not_live_region,0.00022144604200653408
flag_document_21,0.00020802560583620377
live_city_not_work_city,0.00019789722532922147
name_income_type_onehot,0.00011834439801341715
flag_document_7,9.713107463095969e-05
flag_document_16,7.92905012729858e-05
flag_document_5,7.731681715681769e-05
flag_email,2.8267234849948003e-05
flag_mobil,0.0
flag_cont_mobile,0.0
name_type_suite_onehot,0.0
name_education_type_onehot,0.0
name_family_status_onehot,0.0
weekday_appr_process_start_onehot,0.0
flag_own_realty_onehot,0.0
flag_document_20,0.0
reg_region_not_work_region,0.0
flag_document_19,0.0
flag_document_18,0.0
flag_document_17,0.0
flag_document_15,0.0
flag_document_14,0.0
flag_document_13,0.0
flag_document_12,0.0
flag_document_11,0.0
flag_document_10,0.0
flag_document_9,0.0
flag_document_8,0.0
flag_document_6,0.0
live_region_not_work_region,0.0
flag_document_4,0.0
